mean_hr,std_hr,mean_rr,sdnn,rmssd,label
71.9,1.83,835.07,21.14,31.58,Calm
71.81,1.86,836.11,21.47,31.16,Excited
71.85,1.87,835.65,21.61,31.84,Happy
71.9,1.89,835.06,21.85,31.2,Angry
71.76,1.81,836.64,20.99,29.91,Stressed
71.87,1.8,835.36,20.88,30.41,Sad
71.87,1.8,835.36,20.88,30.41,Neutral
71.87,1.8,835.36,20.88,30.41,Drained
71.85,1.83,835.6,21.2,31.07,Angry
71.85,1.83,835.6,21.2,31.07,Excited
71.78,1.84,836.47,21.31,30.87,Neutral
71.78,1.84,836.47,21.31,30.87,Drained
71.76,1.81,836.63,21.06,31.3,Stressed
71.76,1.81,836.63,21.06,31.3,Happy
71.76,1.81,836.63,21.06,31.3,Calm
71.73,1.82,836.95,21.14,31.85,Sad
71.73,1.82,836.95,21.14,31.85,Sad
71.88,1.81,835.28,21.04,31.47,Happy
71.88,1.81,835.28,21.04,31.47,Calm
71.88,1.81,835.28,21.04,31.47,Stressed
71.84,1.79,835.76,20.82,31.64,Angry
71.84,1.79,835.76,20.82,31.64,Neutral
71.83,1.79,835.82,20.81,31.5,Drained
71.83,1.79,835.82,20.81,31.5,Excited
71.77,1.79,836.47,20.78,31.33,Stressed
71.83,1.8,835.84,20.93,31.74,Stressed
71.81,1.79,836.02,20.75,31.74,Angry
71.81,1.79,836.02,20.75,31.74,Sad
71.67,1.79,837.71,20.77,31.36,Excited
71.71,1.77,837.21,20.57,27.32,Calm
71.71,1.77,837.21,20.57,27.32,Calm
71.71,1.77,837.21,20.57,27.32,Calm
71.71,1.77,837.21,20.57,27.32,Happy
71.85,1.78,835.56,20.68,25.67,Happy
71.85,1.78,835.56,20.68,25.67,Happy
71.69,1.78,837.41,20.7,27.56,Sad
71.69,1.78,837.41,20.7,27.56,Sad
71.69,1.78,837.41,20.7,27.56,Sad
71.69,1.78,837.41,20.7,27.56,Sad
71.52,1.75,839.43,20.42,26.55,Stressed
71.52,1.75,839.43,20.42,26.55,Stressed
71.52,1.75,839.43,20.42,26.55,Stressed
71.6,1.78,838.49,20.78,28.06,Angry
71.6,1.78,838.49,20.78,28.06,Angry
71.6,1.78,838.49,20.78,28.06,Angry
71.6,1.78,838.49,20.78,28.06,Angry
71.72,1.86,837.14,21.7,28.03,Excited
71.72,1.86,837.14,21.7,28.03,Excited
71.72,1.86,837.14,21.7,28.03,Excited
71.72,1.86,837.14,21.7,28.03,Excited
71.71,1.88,837.3,21.88,28.82,Neutral
71.71,1.88,837.3,21.88,28.82,Neutral
71.71,1.88,837.3,21.88,28.82,Neutral
71.71,1.88,837.3,21.88,28.82,Neutral
71.71,1.88,837.3,21.88,28.82,Neutral
71.55,1.87,839.11,21.82,28.77,Drained
71.55,1.87,839.11,21.82,28.77,Drained
71.55,1.87,839.11,21.82,28.77,Drained
71.55,1.87,839.11,21.82,28.77,Drained
71.55,1.87,839.11,21.82,28.77,Drained
